paper_id,year,program_code,program_name,conference_id,paper_title,author_position,author_name,author_name_normalized,is_program_year_organizer_author,matched_organizer_name,match_method,match_confidence,source_url
SI2020-AG-59ac5c07ac,2020,AG,Aging,SI20AG,Medicare and Elderly Psychological Well-Being during the COVID-19 Pandemic,1,Silvia H. Barcellos,silvia h barcellos,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-59ac5c07ac,2020,AG,Aging,SI20AG,Medicare and Elderly Psychological Well-Being during the COVID-19 Pandemic,2,Mireille Jacobson,mireille jacobson,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-59ac5c07ac,2020,AG,Aging,SI20AG,Medicare and Elderly Psychological Well-Being during the COVID-19 Pandemic,3,Arthur A. Stone,arthur a stone,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-751c22897e,2020,AG,Aging,SI20AG,Social Distance Policies in ECON-EPI Networks: the Role of Aging,1,Marina Azzimonti,marina azzimonti,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-751c22897e,2020,AG,Aging,SI20AG,Social Distance Policies in ECON-EPI Networks: the Role of Aging,2,Alessandra Fogli,alessandra fogli,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-751c22897e,2020,AG,Aging,SI20AG,Social Distance Policies in ECON-EPI Networks: the Role of Aging,3,Fabrizio Perri,fabrizio perri,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-751c22897e,2020,AG,Aging,SI20AG,Social Distance Policies in ECON-EPI Networks: the Role of Aging,4,Mark Ponder,mark ponder,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-c14000b3a1,2020,AG,Aging,SI20AG,Building Better Retirement Systems in the Wake of the Global Pandemic,1,Olivia S. Mitchell,olivia s mitchell,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-9c0905de04,2020,AG,Aging,SI20AG,Hazed and Confused: The Effect of Air Pollution on Dementia,1,Kelly Bishop,kelly bishop,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-9c0905de04,2020,AG,Aging,SI20AG,Hazed and Confused: The Effect of Air Pollution on Dementia,2,Jonathan D. Ketcham,jonathan d ketcham,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-9c0905de04,2020,AG,Aging,SI20AG,Hazed and Confused: The Effect of Air Pollution on Dementia,3,Nicolai V. Kuminoff,nicolai v kuminoff,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-3d26fdb1b6,2020,AG,Aging,SI20AG,Impact of Early-life Stress on Long-run Labour Market Outcomes,1,Joanna Aleksandra Kopinska,joanna aleksandra kopinska,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-3d26fdb1b6,2020,AG,Aging,SI20AG,Impact of Early-life Stress on Long-run Labour Market Outcomes,2,Vincenzo Atella,vincenzo atella,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-3d26fdb1b6,2020,AG,Aging,SI20AG,Impact of Early-life Stress on Long-run Labour Market Outcomes,3,Edoardo Di Porto,edoardo di porto,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
SI2020-AG-3d26fdb1b6,2020,AG,Aging,SI20AG,Impact of Early-life Stress on Long-run Labour Market Outcomes,4,Maarten Lindeboom,maarten lindeboom,0,,,,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
