year,program_code,conference_id,http_status,agenda_captured,papers_parsed,html_bytes,source_url
2020,AG,SI20AG,200,1,12,14893,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
2020,AP,SI20AP,200,1,13,20374,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AP
2020,EFBEM,SI20EFBEM,200,1,5,7957,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFBEM
2020,EFEL,SI20EFEL,200,1,12,17371,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEL
2020,CH,SI20CH,200,1,14,17430,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CH
2020,CRIW,SI20PRCR,200,1,12,18329,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR
2020,CF,SI20CF,200,1,16,24564,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CF
2020,DEV,SI20DEV,200,1,19,25197,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
2020,DAE,SI20DAE,200,1,24,29391,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DAE
2020,EFEG,EFGs20,200,1,5,11941,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs20
2020,EFG,SI20EFEG,200,1,12,17891,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEG
2020,CRI,SI20CRI,200,1,14,19717,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CRI
2020,ED,SI20ED,200,1,10,12863,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ED
2020,PENS,SI20PENS,200,1,5,8250,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PENS
2020,PESS,SI20ESS,200,1,4,5856,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ESS
2020,ENT,SI20PRENT,200,1,12,14162,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRENT
2020,EEE,SI20EEE,200,1,10,18797,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EEE
2020,GE,SI20GE,200,1,11,25454,https://conference.nber.org/agenda/simple_printable?conf_id=SI20GE
2020,HC,SI20HC,200,1,7,13279,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HC
2020,HE,SI20HE,200,1,7,11815,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HE
2020,HF,SI20HF,200,1,8,14060,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HF
2020,IFMDS,SI20IFMDS,200,1,5,6640,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IFMDS
2020,PRIT,SI20PRIT,200,1,31,34719,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRIT
2020,IPM,SI20EFCE,200,1,17,20299,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFCE
2020,EFDIS,SI20EFDIS,200,1,6,7989,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFDIS
2020,IO,SI20IO,200,1,10,17679,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IO
2020,PRINN,SI20PRINN,200,1,8,12578,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRINN
2020,IFM,SI20IFM,200,1,9,16107,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IFM
2020,ITI,SI20ITI,200,1,20,32686,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ITI
2020,ITM,SI20ITM,200,1,5,9143,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ITM
2020,LS,SI20LS,200,1,16,24991,https://conference.nber.org/agenda/simple_printable?conf_id=SI20LS
2020,LE,SI20LE,200,1,4,6385,https://conference.nber.org/agenda/simple_printable?conf_id=SI20LE
2020,EFMPL,SI20EFMPL,200,1,9,11356,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMPL
2020,MPF,SI20MPF,200,1,4,4843,https://conference.nber.org/agenda/simple_printable?conf_id=SI20MPF
2020,EFMB,SI20EFMB,200,1,4,6129,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMB
2020,MEFM,SI20MEFM,200,1,11,17596,https://conference.nber.org/agenda/simple_printable?conf_id=SI20MEFM
2020,PRMP,SI20PRMP,200,1,6,8008,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRMP
2020,EFMM,SI20EFMM,200,1,7,12511,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMM
2020,ME,SI20ME,200,1,19,23775,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ME
2020,PPL,SI20PPL,200,1,9,14400,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PPL
2020,POL,SI20POL,200,1,5,10665,https://conference.nber.org/agenda/simple_printable?conf_id=SI20POL
2020,PRPD,SI20PRPD,200,1,5,8119,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRPD
2020,PE,SI20PE,200,1,12,17009,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PE
2020,REAL,SI20REAL,200,1,14,18280,https://conference.nber.org/agenda/simple_printable?conf_id=SI20REAL
2020,RISK,SI20RISK,200,1,11,17235,https://conference.nber.org/agenda/simple_printable?conf_id=SI20RISK
2020,SIP,SI20PRSF,200,1,5,11577,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRSF
2020,URB,SI20URB,200,1,26,34718,https://conference.nber.org/agenda/simple_printable?conf_id=SI20URB
2021,AG,SI21AG,200,1,18,20350,https://conference.nber.org/agenda/simple_printable?conf_id=SI21AG
2021,AP,SI21AP,200,1,10,16810,https://conference.nber.org/agenda/simple_printable?conf_id=SI21AP
2021,EFBEM,SI21EFBEM,200,1,5,7355,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFBEM
2021,HPC,SI21HPC,200,1,14,18245,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HPC
