organizer_name,n_organizer_program_years,years_as_organizer,n_distinct_years_as_organizer,organizer_year_programs,programs_organized,n_own_papers_on_organized_programs,n_organizer_program_years_with_own_paper,share_of_organizer_program_years_with_own_paper,years_with_own_paper_while_organizing
Erik Brynjolfsson,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PRIT; 2021-PRIT; 2022-PRIT; 2023-PRIT; 2024-PRIT; 2025-PRIT; 2026-PRIT,PRIT,5,5,0.7142857142857143,2020; 2021; 2023; 2024; 2025
David Autor,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-LS; 2021-LS; 2022-LS; 2023-LS; 2024-LS; 2025-LS; 2026-LS,LS,3,2,0.2857142857142857,2021; 2026
Erik Hurst,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMM; 2021-EFMM; 2022-EFMM; 2023-EFMM; 2024-EFMM; 2025-EFMM; 2026-EFMM,EFMM,3,3,0.42857142857142855,2021; 2025; 2026
Tomasz Piskorski,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-REAL; 2021-REAL; 2022-REAL; 2023-REAL; 2024-REAL; 2025-REAL; 2026-REAL,REAL,3,3,0.42857142857142855,2020; 2021; 2025
Raj Chetty,5,2020; 2023; 2024; 2025; 2026,5,2020-PE; 2023-PE; 2024-PE; 2025-PE; 2026-PE,PE,3,3,0.6,2023; 2025; 2026
Seema Jayachandran,8,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-DEV; 2020-GE; 2021-DEV; 2022-DEV; 2023-DEV; 2024-DEV; 2025-DEV; 2026-DEV,DEV; GE,2,2,0.25,2022; 2025
Adair Morse,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-HF; 2021-HF; 2022-HF; 2023-HF; 2024-HF; 2025-HF; 2026-HF,HF,2,2,0.2857142857142857,2023; 2024
Alexandre Mas,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-LS; 2021-LS; 2022-LS; 2023-LS; 2024-LS; 2025-LS; 2026-LS,LS,2,2,0.2857142857142857,2022; 2026
Amy Finkelstein,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-HC; 2021-HC; 2022-HC; 2023-EH; 2024-EH; 2025-EH; 2026-EH,EH; HC,2,2,0.2857142857142857,2022; 2023
Caroline M. Hoxby,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-ED; 2021-ED; 2022-ED; 2023-ED; 2024-ED; 2025-ED; 2026-ED,ED,2,2,0.2857142857142857,2022; 2025
David M. Cutler,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-AG; 2021-AG; 2022-AG; 2023-AG; 2024-AG; 2025-AG; 2026-AG,AG,2,2,0.2857142857142857,2025; 2026
Mark A. Aguiar,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMB; 2021-EFMB; 2022-EFMB; 2023-EFMB; 2024-EFMB; 2025-EFMB; 2026-EFMB,EFMB,2,2,0.2857142857142857,2025; 2026
Mitchell Hoffman,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PPL; 2021-PPL; 2022-PPL; 2023-PPL; 2024-PPL; 2025-PPL; 2026-PPL,PPL,2,2,0.2857142857142857,2023; 2026
Patrick J. Kehoe,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMB; 2021-EFMB; 2022-EFMB; 2023-EFMB; 2024-EFMB; 2025-EFMB; 2026-EFMB,EFMB,2,2,0.2857142857142857,2024; 2026
Philipp Kircher,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMPL; 2021-EFMPL; 2022-EFMPL; 2023-EFMPL; 2024-EFMPL; 2025-EFMPL; 2026-EFMPL,EFMPL,2,2,0.2857142857142857,2023; 2026
