year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2020,AG,Aging,David M. Cutler,david m cutler,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
2020,AG,Aging,Jonathan S. Skinner,jonathan s skinner,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG
2020,AP,Asset Pricing,Ralph S. J. Koijen,ralph s j koijen,1,13,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AP
2020,AP,Asset Pricing,Sydney C. Ludvigson,sydney c ludvigson,1,13,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AP
2020,EFBEM,Behavioral Macro,Andrew Caplin,andrew caplin,1,5,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFBEM
2020,EFBEM,Behavioral Macro,Michael Woodford,michael woodford,1,5,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFBEM
2020,EFEL,Capital Markets and the Economy,Janice C. Eberly,janice c eberly,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEL
2020,EFEL,Capital Markets and the Economy,Deborah J. Lucas,deborah j lucas,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEL
2020,CH,Children,Janet Currie,janet currie,1,14,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CH
2020,CH,Children,Anna Aizer,anna aizer,1,14,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CH
2020,CRIW,Conference on Research in Income and Wealth,Katharine G. Abraham,katharine g abraham,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR
2020,CRIW,Conference on Research in Income and Wealth,Susanto Basu,susanto basu,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR
2020,CRIW,Conference on Research in Income and Wealth,Nicholas Bloom,nicholas bloom,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR
2020,CRIW,Conference on Research in Income and Wealth,Carol A. Corrado,carol a corrado,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR
2020,CF,Corporate Finance,Antoinette Schoar,antoinette schoar,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CF
2020,CF,Corporate Finance,Amir Sufi,amir sufi,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CF
2020,DEV,Development Economics,Christopher Blattman,christopher blattman,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
2020,DEV,Development Economics,Shawn Cole,shawn cole,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
2020,DEV,Development Economics,Dave Donaldson,dave donaldson,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
2020,DEV,Development Economics,Kelsey Jack,kelsey jack,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
