program_code,fe_raw,se,fe,program_name,tstat
CRP,0.6123454955324238,0.03546776716017035,0.5993528402072925,Corruption and Reform,17.264844803088604
EH,0.35076090334217763,0.10726742537865996,0.3377682480170464,Economics of Health,3.269966647413902
HPC,0.3500150260625483,0.02731007622109279,0.3370223707374171,Big Data and High-Performance Computing,12.816332815366371
EM,0.3109026331688557,0.33702766924172745,0.29790997784372447,Frontier Econometric Methods,0.9224840021840046
IEG,0.26133320694300566,0.15265354181022522,0.24834055161787444,International Economics and Geopolitics,1.7119367414867326
CRA,0.2206377951940485,0.03525721293199011,0.20764513986891728,Capital and Risk Allocation,6.257947717525228
EFPD,0.17185625257872533,0.015214148670399429,0.1588635972535941,Price Dynamics,11.295817879911217
PRPD,0.13475512738217216,0.014448757188274763,0.12176247205704094,"Productivity, Development, and Entrepreneurship",9.326416495636497
CG,0.1169535248475853,0.019283333417611945,0.10396086952245408,Corporate Governance,6.065005583566208
PET,0.11451961159908716,0.010351612358732085,0.10152695627395594,Public Economics: Taxation,11.062973344677491
REAL,0.09698290622547401,7.333294903890545e-12,0.08399025090034279,Real Estate,13225011062.083635
RISK,0.0949577310492252,0.007290690513658969,0.08196507572409398,Risks of Financial Institutions,13.024518167562277
SIP,0.08619597762899953,0.010170825916730014,0.0732033223038683,Science of Science Funding,8.474825774691077
EFDIS,0.07652452452176116,8.988702366280876e-12,0.06353186919662994,Inequality and the Macroeconomy,8513411769.9598055
CRIW,0.0659001383150401,7.759220862527641e-12,0.05290748298990888,Conference on Research in Income and Wealth,8493138613.091688
EFACR,0.06505575647215023,0.003274894169852892,0.05206310114701901,Aggregate Implications of Microeconomic Consumption Behavior,19.8649950496179
DEM,0.05771500981071711,0.048114447200306304,0.04472235448558589,Dynamic Equilibrium Models,1.1995359641240912
EFMPL,0.05380510431024771,7.27655179899973e-12,0.04081244898511649,Aggregate Labor Market,7394313377.614384
PRMP,0.0509147140400966,0.010421575497575112,0.03792205871496538,Macroeconomics and Productivity,4.885510262046599
EFMB,0.04510420129728505,0.013002446408842084,0.03211154597215383,Macro Within and Across Borders,3.4689011497569204
CRI,0.04340183450309566,0.00922622692264666,0.030409179177964443,Economics of Crime,4.704180253421005
PRTC,0.034304059821428756,0.006820087584717925,0.021311404496297537,Productivity and Technical Change,5.029856199837579
IPM,0.03092669465497009,0.04261020913198169,0.01793403932983887,Impulse and Propagation Mechanisms,0.7258048079317598
MPF,0.026606240650740257,0.010421575497575154,0.013613585325609037,Macro Public Finance,2.5529960088022086
EEE,0.02575444516761665,0.008257999790614512,0.012761789842485431,Environmental & Energy Economics,3.1187267886452874
EFSF,0.01783483220999997,0.009136419165379958,0.004842176884868751,Financial Frictions and the Macroeconomy,1.9520593229325933
ED,0.01721679674779456,0.002701954355542755,0.004224141422663339,Economics of Education,6.371979124101871
ENT,0.016257474912753603,0.008629419038638519,0.0032648195876223834,Entrepreneurship,1.8839593766347658
PESS,0.007860199954290378,0.0005650372349271824,-0.005132455370840842,Economics of Social Security,13.910941559990004
PRBC,0.0026508073567320005,9.984643378324114e-05,-0.01034184796839922,Health-Care Information Technology,26.548843622063632
GE,0.0023620246032997104,0.04705883166491282,-0.01063063072183151,Gender in the Economy,0.0501930141427808
CCEF,0.0015111098804809417,0.008842029190216316,-0.011481545444650278,Currency Crises: Exchange Rates and Financial Issues,0.170900802063963
GFC,0.0012308105217195648,7.228435084579831e-05,-0.011761844803411654,Global Financial Crisis,17.027344194391535
SD,0.000885982935500676,7.228435084577614e-05,-0.012106672389630544,Sovereign Debt,12.256912113535947
HY,0.0005775276698045853,4.4037058221108414e-05,-0.012415127655326635,Economics of Hydrocarbon Infrastructure and Transportation,13.11458333353787
SWB,0.0002288123666291493,4.143127074637918e-05,-0.01276384295850207,Subjective Well-Being,5.522697288958872
HFC,8.138523436351634e-05,7.228435084566745e-05,-0.012911270090767703,Household Finance and Consumption,1.1259039254192096
SF,5.422152484649642e-05,3.301642307331676e-05,-0.012938433800284723,Sustainable Finance,1.6422592091848136
AG,0.0,,-0.01299265532513122,Aging,
FMS,-0.00015055449302641538,2.4465243675316176e-05,-0.013143209818157635,Financial Market Structure,-6.15381130163502
HEBNH,-0.0003074280823984206,4.4037058221157806e-05,-0.01330008340752964,Health Economics: Behavioral and New Health,-6.98112214613635
DAE,-0.0004680880764150828,5.571943778704791e-12,-0.013460743401546302,Development of the American Economy,-84008040.10335703
LBAPRE,-0.0013870424808031978,0.00030702403567256476,-0.014379697805934417,"Labor, Applied Price, and Real-Economy Workshop",-4.517699983210604
PE,-0.002506159820576991,0.004604394383755506,-0.01549881514570821,Public Economics,-0.5442973845635002
DEV,-0.0031904201950328902,0.01300244640884203,-0.01618307552016411,Development Economics,-0.24537076290991783
LE,-0.005234465977284143,8.830044690104343e-12,-0.018227121302415362,Law and Economics,-592801753.6706587
MM,-0.00562797380090028,0.0006916952241275689,-0.018620629126031497,Macroeconomic Models,-8.136493652965163
CCDF,-0.008745300375931981,0.008842029190216517,-0.0217379557010632,Currency Crises: Diagnosis and Frameworks,-0.9890603375985725
URB,-0.013967980120234924,0.01216120258303098,-0.026960635445366143,Urban Economics,-1.1485689860742072
PPL,-0.01830379282740144,0.002704148140632953,-0.03129644815253266,Personnel Economics,-6.768783319362495
HE,-0.021952031498788056,0.0021355490207223314,-0.034944686823919276,Health Economics,-10.279338608374799
EFCE,-0.022270988567808056,0.0025793921445108055,-0.035263643892939275,Economic Fluctuations and Growth: Consumption and the Economy,-8.634200354220223
PRIT,-0.02388962081465267,0.008629419038638281,-0.036882276139783884,Digital Economics and Artificial Intelligence,-2.768392716553308
EFEL,-0.027016184631217098,0.001441930914096841,-0.04000883995634832,Capital Markets and the Economy,-18.73611583405075
EFFE,-0.027998926992201308,0.00016427871458833972,-0.04099158231733253,Forecasting and Empirical Methods,-170.43551297782454
IO,-0.028155711770285283,8.925202519592479e-12,-0.0411483670954165,Industrial Organization,-3154630016.3473334
PEPF,-0.02862721513383743,0.01748822548048908,-0.04161987045896865,Public Economics and Public Finance,-1.6369422481300737
POL,-0.030275837327403902,0.007905665377885474,-0.04326849265253512,Political Economy,-3.8296380987860346
IASE,-0.030373532933421335,0.006827483477448857,-0.043366188258552554,International Aspects of the U.S. Economy,-4.448715699385426
CH,-0.031199925519750857,0.0018806677932999313,-0.044192580844882076,Children and Families,-16.5898122097394
EFMM,-0.03164708236056097,0.028331422631340433,-0.04463973768569219,Micro Data and Macro Models,-1.1170311767384646
MEFM,-0.03540356327082643,0.010421575497575225,-0.04839621859595765,"Macro, Money and Financial Frictions",-3.3971411788038894
HC,-0.042633055433599895,0.0019415180307570713,-0.055625710758731114,Health Care,-21.95861936804968
PRIPE,-0.04561517024027863,0.004399280851707735,-0.058607825565409846,"Productivity, Innovation, and the Economy",-10.36877884769996
PRB,-0.04752382141406077,0.005879788240769298,-0.06051647673919199,Productivity and Business,-8.082573634972075
HF,-0.04790034283952438,0.00986919883498161,-0.0608929981646556,Household Finance,-4.853518876298294
IAP,-0.04942601117909974,0.016299864386355337,-0.06241866650423096,International Asset Pricing,-3.032295852747977
PRINN,-0.05564040754215281,0.00389066332051709,-0.06863306286728403,Innovation,-14.301008069430667
ITM,-0.05713608258997121,0.009869198834981281,-0.07012873791510243,International Trade & Macroeconomics,-5.789333414527318
IFM,-0.059181868507992376,6.193761530805996e-12,-0.07217452383312359,International Finance & Macroeconomics,-9555077026.075142
ME,-0.06158562694623537,8.18683200674664e-12,-0.07457828227136659,Monetary Economics,-7522522374.40363
CF,-0.06306269925664065,9.276758385860503e-12,-0.07605535458177187,Corporate Finance,-6797924084.425858
