year,program_code,program_name,papers_total,papers_with_program_year_organizer,share,n_years_in_window
2023,EH,Economics of Health,30.0,2.0,0.06666666666666667,2
2024,EH,Economics of Health,47.0,3.0,0.06382978723404255,3
2025,EH,Economics of Health,51.0,3.0,0.058823529411764705,3
2026,EH,Economics of Health,35.0,2.0,0.05714285714285714,2
2000,HC,Health Care,22.0,0.0,0.0,2
2001,HC,Health Care,32.0,1.0,0.03125,3
2002,HC,Health Care,31.0,1.0,0.03225806451612903,3
2003,HC,Health Care,29.0,1.0,0.034482758620689655,3
2004,HC,Health Care,29.0,0.0,0.0,3
2005,HC,Health Care,20.0,0.0,0.0,2
2007,HC,Health Care,20.0,1.0,0.05,2
2008,HC,Health Care,32.0,2.0,0.0625,3
2009,HC,Health Care,34.0,2.0,0.058823529411764705,3
2010,HC,Health Care,34.0,3.0,0.08823529411764706,3
2011,HC,Health Care,34.0,2.0,0.058823529411764705,3
2012,HC,Health Care,29.0,2.0,0.06896551724137931,3
2013,HC,Health Care,30.0,1.0,0.03333333333333333,3
2014,HC,Health Care,30.0,2.0,0.06666666666666667,3
2015,HC,Health Care,35.0,3.0,0.08571428571428572,3
2016,HC,Health Care,36.0,2.0,0.05555555555555555,3
2017,HC,Health Care,40.0,3.0,0.075,3
2018,HC,Health Care,41.0,3.0,0.07317073170731707,3
2019,HC,Health Care,35.0,3.0,0.08571428571428572,3
2020,HC,Health Care,27.0,1.0,0.037037037037037035,3
2021,HC,Health Care,26.0,1.0,0.038461538461538464,3
2022,HC,Health Care,19.0,1.0,0.05263157894736842,2
2001,HE,Health Economics,12.0,1.0,0.08333333333333333,2
2002,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2003,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2004,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2005,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2006,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2007,HE,Health Economics,18.0,0.0,0.0,3
2008,HE,Health Economics,18.0,0.0,0.0,3
2009,HE,Health Economics,18.0,0.0,0.0,3
2010,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2011,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2012,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2013,HE,Health Economics,18.0,0.0,0.0,3
2014,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2015,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2016,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2017,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2018,HE,Health Economics,18.0,1.0,0.05555555555555555,3
2019,HE,Health Economics,19.0,2.0,0.10526315789473684,3
2020,HE,Health Economics,23.0,1.0,0.043478260869565216,3
2021,HE,Health Economics,27.0,1.0,0.037037037037037035,3
2022,HE,Health Economics,20.0,0.0,0.0,2
