year,program_code,program_name,papers_total,papers_with_program_year_organizer,program_year_organizer_share,share
2023,EH,Economics of Health,14.0,1.0,0.0714285714285714,0.0714285714285714
2024,EH,Economics of Health,16.0,1.0,0.0625,0.0625
2025,EH,Economics of Health,17.0,1.0,0.0588235294117647,0.0588235294117647
2026,EH,Economics of Health,18.0,1.0,0.0555555555555555,0.0555555555555555
2000,HC,Health Care,10.0,0.0,0.0,0.0
2001,HC,Health Care,12.0,0.0,0.0,0.0
2002,HC,Health Care,10.0,1.0,0.1,0.1
2003,HC,Health Care,9.0,0.0,0.0,0.0
2004,HC,Health Care,10.0,0.0,0.0,0.0
2005,HC,Health Care,10.0,0.0,0.0,0.0
2007,HC,Health Care,9.0,0.0,0.0,0.0
2008,HC,Health Care,11.0,1.0,0.0909090909090909,0.0909090909090909
2009,HC,Health Care,12.0,1.0,0.0833333333333333,0.0833333333333333
2010,HC,Health Care,11.0,0.0,0.0,0.0
2011,HC,Health Care,11.0,2.0,0.1818181818181818,0.1818181818181818
2012,HC,Health Care,12.0,0.0,0.0,0.0
2013,HC,Health Care,6.0,0.0,0.0,0.0
2014,HC,Health Care,12.0,1.0,0.0833333333333333,0.0833333333333333
2015,HC,Health Care,12.0,1.0,0.0833333333333333,0.0833333333333333
2016,HC,Health Care,11.0,1.0,0.0909090909090909,0.0909090909090909
2017,HC,Health Care,13.0,0.0,0.0,0.0
2018,HC,Health Care,16.0,2.0,0.125,0.125
2019,HC,Health Care,12.0,1.0,0.0833333333333333,0.0833333333333333
2020,HC,Health Care,7.0,0.0,0.0,0.0
2021,HC,Health Care,8.0,0.0,0.0,0.0
2022,HC,Health Care,11.0,1.0,0.0909090909090909,0.0909090909090909
2001,HE,Health Economics,6.0,0.0,0.0,0.0
2002,HE,Health Economics,6.0,1.0,0.1666666666666666,0.1666666666666666
2003,HE,Health Economics,6.0,0.0,0.0,0.0
2004,HE,Health Economics,6.0,0.0,0.0,0.0
2005,HE,Health Economics,6.0,1.0,0.1666666666666666,0.1666666666666666
2006,HE,Health Economics,6.0,0.0,0.0,0.0
2007,HE,Health Economics,6.0,0.0,0.0,0.0
2008,HE,Health Economics,6.0,0.0,0.0,0.0
2009,HE,Health Economics,6.0,0.0,0.0,0.0
2010,HE,Health Economics,6.0,0.0,0.0,0.0
2011,HE,Health Economics,6.0,1.0,0.1666666666666666,0.1666666666666666
2012,HE,Health Economics,6.0,0.0,0.0,0.0
2013,HE,Health Economics,6.0,0.0,0.0,0.0
2014,HE,Health Economics,6.0,0.0,0.0,0.0
2015,HE,Health Economics,6.0,1.0,0.1666666666666666,0.1666666666666666
2016,HE,Health Economics,6.0,0.0,0.0,0.0
2017,HE,Health Economics,6.0,0.0,0.0,0.0
2018,HE,Health Economics,6.0,1.0,0.1666666666666666,0.1666666666666666
2019,HE,Health Economics,6.0,0.0,0.0,0.0
2020,HE,Health Economics,7.0,1.0,0.1428571428571428,0.1428571428571428
2021,HE,Health Economics,10.0,0.0,0.0,0.0
2022,HE,Health Economics,10.0,0.0,0.0,0.0
