year,program_code,program_name,papers_total,papers_with_program_year_organizer,share,n_years_in_window
2020,AG,Aging,30.0,0.0,0.0,2
2021,AG,Aging,46.0,2.0,0.043478260869565216,3
2022,AG,Aging,46.0,2.0,0.043478260869565216,3
2023,AG,Aging,40.0,2.0,0.05,3
2024,AG,Aging,36.0,1.0,0.027777777777777776,3
2025,AG,Aging,41.0,3.0,0.07317073170731707,3
2026,AG,Aging,29.0,3.0,0.10344827586206896,2
2020,CRI,Economics of Crime,25.0,1.0,0.04,2
2021,CRI,Economics of Crime,39.0,1.0,0.02564102564102564,3
2022,CRI,Economics of Crime,38.0,1.0,0.02631578947368421,3
2023,CRI,Economics of Crime,38.0,0.0,0.0,3
2024,CRI,Economics of Crime,36.0,0.0,0.0,3
2025,CRI,Economics of Crime,36.0,2.0,0.05555555555555555,3
2026,CRI,Economics of Crime,24.0,2.0,0.08333333333333333,2
2020,DEV,Development Economics,30.0,1.0,0.03333333333333333,2
2021,DEV,Development Economics,49.0,3.0,0.061224489795918366,3
2022,DEV,Development Economics,50.0,3.0,0.06,3
2023,DEV,Development Economics,57.0,3.0,0.05263157894736842,3
2024,DEV,Development Economics,55.0,2.0,0.03636363636363636,3
2025,DEV,Development Economics,53.0,1.0,0.018867924528301886,3
2026,DEV,Development Economics,34.0,1.0,0.029411764705882353,2
2020,EEE,Environmental & Energy Economics,34.0,0.0,0.0,2
2021,EEE,Environmental & Energy Economics,56.0,1.0,0.017857142857142856,3
2022,EEE,Environmental & Energy Economics,69.0,2.0,0.028985507246376812,3
2023,EEE,Environmental & Energy Economics,65.0,4.0,0.06153846153846154,3
2024,EEE,Environmental & Energy Economics,61.0,3.0,0.04918032786885246,3
2025,EEE,Environmental & Energy Economics,55.0,3.0,0.05454545454545454,3
2026,EEE,Environmental & Energy Economics,35.0,1.0,0.02857142857142857,2
2020,EFMM,Micro Data and Macro Models,16.0,1.0,0.0625,2
2021,EFMM,Micro Data and Macro Models,32.0,2.0,0.0625,3
