year,program_code,program_name,papers_total,papers_with_program_year_organizer,share,n_years_in_window
2000,AG,Aging,20.0,2.0,0.1,2
2001,AG,Aging,29.0,3.0,0.10344827586206896,3
2002,AG,Aging,28.0,4.0,0.14285714285714285,3
2003,AG,Aging,46.0,2.0,0.043478260869565216,3
2004,AG,Aging,65.0,4.0,0.06153846153846154,3
2005,AG,Aging,82.0,4.0,0.04878048780487805,3
2006,AG,Aging,77.0,5.0,0.06493506493506493,3
2007,AG,Aging,78.0,3.0,0.038461538461538464,3
2008,AG,Aging,81.0,3.0,0.037037037037037035,3
2009,AG,Aging,90.0,2.0,0.022222222222222223,3
2010,AG,Aging,93.0,2.0,0.021505376344086023,3
2011,AG,Aging,99.0,2.0,0.020202020202020204,3
2012,AG,Aging,98.0,3.0,0.030612244897959183,3
2013,AG,Aging,95.0,2.0,0.021052631578947368,3
2014,AG,Aging,86.0,1.0,0.011627906976744186,3
2015,AG,Aging,83.0,1.0,0.012048192771084338,3
2016,AG,Aging,83.0,1.0,0.012048192771084338,3
2017,AG,Aging,92.0,2.0,0.021739130434782608,3
2018,AG,Aging,78.0,1.0,0.01282051282051282,3
2019,AG,Aging,61.0,1.0,0.01639344262295082,3
2020,AG,Aging,44.0,0.0,0.0,3
2021,AG,Aging,46.0,2.0,0.043478260869565216,3
2022,AG,Aging,46.0,2.0,0.043478260869565216,3
2023,AG,Aging,40.0,2.0,0.05,3
2024,AG,Aging,36.0,1.0,0.027777777777777776,3
2025,AG,Aging,41.0,3.0,0.07317073170731707,3
2026,AG,Aging,29.0,3.0,0.10344827586206896,2
2000,CH,Children and Families,12.0,0.0,0.0,2
2001,CH,Children and Families,22.0,0.0,0.0,3
2002,CH,Children and Families,26.0,0.0,0.0,3
2003,CH,Children and Families,31.0,1.0,0.03225806451612903,3
2004,CH,Children and Families,21.0,1.0,0.047619047619047616,2
2008,CH,Children and Families,12.0,1.0,0.08333333333333333,2
2009,CH,Children and Families,20.0,1.0,0.05,3
2010,CH,Children and Families,22.0,0.0,0.0,3
2011,CH,Children and Families,24.0,0.0,0.0,3
2012,CH,Children and Families,23.0,0.0,0.0,3
2013,CH,Children and Families,27.0,1.0,0.037037037037037035,3
2014,CH,Children and Families,34.0,2.0,0.058823529411764705,3
2015,CH,Children and Families,43.0,2.0,0.046511627906976744,3
2016,CH,Children and Families,47.0,1.0,0.02127659574468085,3
2017,CH,Children and Families,48.0,2.0,0.041666666666666664,3
2018,CH,Children and Families,47.0,2.0,0.0425531914893617,3
2019,CH,Children and Families,45.0,2.0,0.044444444444444446,3
2020,CH,Children and Families,45.0,0.0,0.0,3
2021,CH,Children and Families,51.0,0.0,0.0,3
2022,CH,Children and Families,58.0,0.0,0.0,3
2023,CH,Children and Families,64.0,0.0,0.0,3
2024,CH,Children and Families,67.0,1.0,0.014925373134328358,3
2025,CH,Children and Families,70.0,1.0,0.014285714285714285,3
2026,CH,Children and Families,48.0,1.0,0.020833333333333332,2
2000,CRIW,Conference on Research in Income and Wealth,23.0,3.0,0.13043478260869565,2
2001,CRIW,Conference on Research in Income and Wealth,39.0,4.0,0.10256410256410256,3
2002,CRIW,Conference on Research in Income and Wealth,60.0,5.0,0.08333333333333333,3
2003,CRIW,Conference on Research in Income and Wealth,67.0,6.0,0.08955223880597014,3
2004,CRIW,Conference on Research in Income and Wealth,63.0,5.0,0.07936507936507936,3
2005,CRIW,Conference on Research in Income and Wealth,49.0,4.0,0.08163265306122448,3
2006,CRIW,Conference on Research in Income and Wealth,42.0,4.0,0.09523809523809523,3
2007,CRIW,Conference on Research in Income and Wealth,45.0,6.0,0.13333333333333333,3
2008,CRIW,Conference on Research in Income and Wealth,38.0,5.0,0.13157894736842105,3
2009,CRIW,Conference on Research in Income and Wealth,38.0,5.0,0.13157894736842105,3
2010,CRIW,Conference on Research in Income and Wealth,35.0,4.0,0.11428571428571428,3
