program_code,papers,years,org,name,mean_w,mean_papers_per_year,window,min_papers,min_years,n_eligible_large,color
PE,202.0,22,21.0,Public Economics,0.10396039603960396,9.181818181818182,2000-2026,150,8,34,#DAA520
EFACR,324.0,18,26.0,Aggregate Implications of Microeconomic Consumption Behavior,0.08024691358024691,18.0,2000-2026,150,8,34,#AA4499
CRIW,409.0,27,29.0,Conference on Research in Income and Wealth,0.07090464547677261,15.148148148148149,2000-2026,150,8,34,#CC79A7
EFDIS,383.0,27,26.0,Inequality and the Macroeconomy,0.06788511749347259,14.185185185185185,2000-2026,150,8,34,#44AA99
REAL,300.0,27,20.0,Real Estate,0.06666666666666667,11.11111111111111,2000-2026,150,8,34,#EE7733
PE,79.0,7,10.0,Public Economics,0.12658227848101267,11.285714285714286,2020-2026,70,5,30,#DAA520
LS,177.0,7,16.0,Labor Studies,0.0903954802259887,25.285714285714285,2020-2026,70,5,30,#0072B2
AG,99.0,7,5.0,Aging,0.050505050505050504,14.142857142857142,2020-2026,70,5,30,#009E73
EFG,84.0,7,4.0,Economic Growth and Long-Run Macroeconomic Development,0.047619047619047616,12.0,2020-2026,70,5,30,#7AA6DC
REAL,116.0,7,5.0,Real Estate,0.04310344827586207,16.571428571428573,2020-2026,70,5,30,#EE7733
