year,papers_total,papers_with_organizer,n_programs,share
2000,320.0,19.0,31,0.059375
2001,331.0,18.0,33,0.054380664652567974
2002,362.0,17.0,34,0.04696132596685083
2003,386.0,16.0,35,0.04145077720207254
2004,420.0,19.0,36,0.04523809523809524
2005,386.0,16.0,35,0.04145077720207254
2006,379.0,21.0,34,0.055408970976253295
2007,407.0,13.0,39,0.03194103194103194
2008,433.0,19.0,39,0.04387990762124711
2009,438.0,10.0,40,0.0228310502283105
2010,485.0,18.0,45,0.03711340206185567
2011,517.0,21.0,46,0.04061895551257253
2012,574.0,28.0,50,0.04878048780487805
2013,559.0,19.0,50,0.03398926654740608
2014,585.0,22.0,48,0.037606837606837605
2015,587.0,19.0,51,0.03236797274275979
2016,608.0,19.0,48,0.03125
2017,595.0,8.0,47,0.013445378151260505
2018,624.0,27.0,49,0.04326923076923077
2019,605.0,15.0,50,0.024793388429752067
2020,505.0,13.0,47,0.02574257425742574
2021,600.0,12.0,50,0.02
2022,643.0,14.0,49,0.02177293934681182
2023,633.0,12.0,49,0.018957345971563982
2024,645.0,12.0,47,0.018604651162790697
2025,651.0,15.0,49,0.02304147465437788
2026,645.0,27.0,48,0.04186046511627907
